"party","party.agendas","levels.of.party","race","education","fam.income","state.of.residence","vote.method","president.voted.for","reason.of.voting","immigration.importance","environment.importance","gay.rights.importance","health.care.importance","climate.change.importance","abortion.importance","racial.equality.importance","gender.equality.importance","legality.abortion","gay.marriage","police.racial.bias","global.warming","tax.raise","employment.status","political.viewpoint","religion.importance"
1,2,2,1,5,97,6,3,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,3,3
2,2,7,1,3,7,4,2,2,1,2,2,4,1,4,1,3,4,2,2,1,4,2,6,4,1
3,2,3,1,2,6,55,2,1,1,2,1,3,1,1,3,1,2,1,1,1,1,1,5,3,4
3,1,3,1,3,8,40,1,3,NA,3,1,3,1,2,3,2,3,2,1,2,2,1,1,3,3
2,2,7,1,5,5,48,2,2,2,1,1,3,1,4,1,1,1,2,8,1,2,2,1,4,1
1,1,1,1,4,4,6,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,5,1,4
1,2,1,2,6,11,21,1,1,2,2,1,3,1,1,3,1,1,8,2,2,1,1,1,3,1
2,2,7,1,2,97,55,1,2,1,1,2,4,1,3,4,4,3,3,2,1,3,3,5,4,2
1,2,1,1,5,13,6,1,1,1,4,1,2,1,1,1,1,2,1,1,2,1,1,1,2,4
1,1,1,1,3,3,50,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,5,2,4
1,2,1,1,6,9,42,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,4
1,2,1,1,6,10,12,3,1,1,3,1,1,1,1,1,1,1,2,1,8,1,1,5,3,2
2,2,7,1,5,13,53,3,2,2,1,3,4,1,4,3,2,3,2,2,1,4,2,1,4,2
1,2,1,1,6,10,53,3,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,5,1,2
3,1,3,1,6,5,31,3,1,1,2,1,2,1,1,3,1,1,1,1,2,1,1,5,2,3
3,2,3,1,5,97,53,3,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1
1,2,2,1,5,5,6,3,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,3,4
2,1,7,1,5,3,47,2,2,1,1,3,4,2,3,3,3,2,2,2,1,3,2,1,4,2
3,2,3,1,5,13,25,2,1,2,1,2,1,1,2,3,2,2,2,1,2,1,1,5,2,3
1,1,2,1,3,6,32,2,1,2,3,3,4,1,4,2,3,3,1,1,1,5,3,4,3,4
2,1,6,1,6,10,42,1,2,2,1,2,3,1,3,3,3,4,1,2,1,5,2,1,4,3
