"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
1,2,1,2,5,6,1,1,1,1,1,1,1,1,1,1,1,8,1,3,"5","3"
2,7,1,2,3,4,2,2,2,4,1,4,1,3,4,2,2,1,4,1,"4","2"
3,3,1,1,2,55,1,2,1,3,1,1,3,1,2,1,1,1,1,4,"5","3"
3,3,1,1,3,40,3,3,1,3,1,2,3,2,3,2,1,2,2,3,"4","3"
2,7,1,1,5,48,2,1,1,3,1,4,1,1,1,2,8,1,2,1,"4","2"
1,1,1,2,4,6,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"5","1"
1,1,2,2,6,21,1,2,1,3,1,1,3,1,1,8,2,2,1,1,"4","3"
2,7,1,1,2,55,2,1,2,4,1,3,4,4,3,3,2,1,3,2,"5","2"
1,1,1,1,5,6,1,4,1,2,1,1,1,1,2,1,1,2,1,4,"3","1"
1,1,1,2,3,50,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
1,1,1,1,6,42,1,2,1,2,1,1,1,1,1,1,1,1,1,4,"5","1"
1,1,1,2,6,12,1,3,1,1,1,1,1,1,1,2,1,8,1,2,"5","3"
2,7,1,1,5,53,2,1,3,4,1,4,3,2,3,2,2,1,4,2,"3","2"
1,1,1,2,6,53,1,2,2,1,1,2,1,1,1,1,1,2,1,2,"4","1"
3,3,1,2,6,31,1,2,1,2,1,1,3,1,1,1,1,2,1,3,"5","1"
3,3,1,2,5,53,1,3,1,1,1,1,1,1,1,1,1,2,1,1,"4","3"
1,2,1,1,5,6,1,1,1,1,1,1,1,2,2,2,1,2,1,4,"4","3"
2,7,1,1,5,47,2,1,3,4,2,3,3,3,2,2,2,1,3,2,"4","2"
3,3,1,1,5,25,1,1,2,1,1,2,3,2,2,2,1,2,1,3,"5","1"
1,2,1,1,3,32,1,3,3,4,1,4,2,3,3,1,1,1,5,4,"2","3"
2,6,1,1,6,42,2,1,2,3,1,3,3,3,4,1,2,1,5,3,"4","2"
1,1,1,2,3,24,1,3,2,2,1,1,3,2,1,1,1,2,1,1,"5","3"
2,6,1,2,5,6,2,1,4,4,1,4,3,3,3,2,8,1,4,2,"5","2"
3,4,1,1,5,6,6,4,1,2,3,1,4,3,4,2,1,1,1,1,"3","3"
3,5,4,1,5,6,2,1,2,3,1,4,4,3,3,1,1,1,4,2,"4","3"
3,4,1,2,5,6,2,1,3,2,3,4,2,4,4,1,1,1,3,2,"4","3"
3,4,3,1,3,8,3,2,2,2,2,2,2,2,2,1,1,1,1,3,"4","3"
3,4,1,2,5,40,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","3"
2,7,1,1,3,4,2,1,3,4,2,4,1,3,4,2,2,1,3,1,"5","2"
3,3,1,2,5,4,1,2,1,3,1,1,2,2,2,1,1,2,2,2,"4","3"
2,6,3,1,5,4,1,1,3,4,1,3,NA,1,4,2,1,1,5,1,"4","2"
2,6,1,1,2,4,2,1,2,3,1,4,1,2,3,2,8,1,2,1,"5","2"
2,7,1,2,2,4,2,1,3,4,1,NA,2,4,4,3,2,1,3,1,"5","2"
2,7,1,2,6,4,2,1,2,3,1,2,2,1,2,2,2,8,1,1,"4","2"
1,2,1,2,4,4,1,2,1,1,1,2,2,2,1,2,1,2,1,4,"4","3"
2,7,1,2,6,4,2,1,3,2,1,4,2,2,2,2,1,1,2,2,"4","2"
2,7,1,1,4,4,2,1,2,3,1,2,1,1,2,3,2,1,3,1,"5","2"
2,6,1,1,3,4,2,1,2,3,1,3,2,3,4,2,2,1,2,1,"4","3"
1,2,3,1,5,4,1,3,2,3,NA,2,4,2,2,2,1,2,1,4,"5","3"
1,1,1,2,3,8,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
1,1,1,1,2,4,1,1,1,1,1,1,2,2,2,3,1,2,1,4,"5","3"
2,6,1,1,5,4,2,2,3,4,2,4,3,3,3,2,8,1,3,1,"5","2"
2,7,1,1,4,4,2,1,2,3,2,4,2,2,2,2,2,1,4,1,"4","2"
3,5,1,1,3,5,2,1,3,4,1,3,1,4,4,3,2,1,3,1,"3","2"
2,6,1,1,5,4,2,4,4,4,3,4,4,4,4,2,2,1,4,3,"3","2"
2,6,1,2,2,28,2,1,1,4,1,3,1,2,3,3,2,8,5,1,"3","2"
1,1,2,2,5,36,1,3,1,3,1,1,1,1,3,1,1,2,1,4,"3","1"
1,1,2,1,5,48,1,2,2,3,1,2,3,1,2,2,1,2,2,1,"4","3"
3,5,1,2,2,17,2,1,2,3,1,3,1,1,3,3,2,1,3,1,"5","2"
2,7,1,1,6,41,2,1,3,4,2,4,2,3,4,2,2,1,4,2,"5","2"
1,1,6,2,5,6,1,2,1,1,1,1,1,1,1,1,1,2,1,3,"5","1"
1,1,1,1,4,13,1,2,1,1,1,1,4,2,2,1,1,8,1,4,"4","1"
1,1,1,1,4,4,1,2,1,2,1,1,3,1,1,1,1,2,1,4,"5","3"
3,5,3,1,4,53,2,3,2,4,1,3,4,2,2,2,2,1,2,2,"5","2"
2,7,1,2,2,32,2,1,2,2,1,3,2,1,2,2,8,1,3,1,"4","2"
3,5,1,1,3,17,2,1,1,1,1,4,1,2,3,8,1,1,3,1,"3","3"
1,1,1,1,5,6,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","1"
1,2,1,1,5,6,1,3,1,3,1,2,2,2,2,1,1,8,1,4,"4","3"
1,1,1,2,6,53,1,3,1,2,1,1,2,1,1,1,1,2,1,1,"4","1"
3,4,2,2,6,51,1,1,1,2,1,1,2,1,2,8,8,2,1,1,"4","3"
1,1,1,1,5,35,1,3,1,2,2,1,2,3,2,1,1,2,1,4,"2","1"
3,4,1,2,6,8,1,1,1,3,1,1,2,1,2,1,1,2,1,1,"4","3"
2,7,1,1,6,33,2,4,4,4,4,4,1,3,4,3,2,1,3,4,"3","2"
2,6,7,1,6,6,2,1,3,4,1,4,1,4,4,3,2,1,4,1,"3","2"
1,1,1,1,6,6,1,2,1,1,1,1,2,1,1,1,1,2,1,3,"5","1"
1,1,1,1,5,39,1,3,2,1,1,1,2,1,1,8,1,2,2,1,"5","1"
3,4,1,2,2,25,1,1,2,3,1,2,3,1,2,2,2,1,2,2,"5","3"
3,4,1,1,6,6,1,1,1,1,1,1,1,1,2,1,1,2,1,4,"4","3"
3,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,3,2,1,4,12,1,2,1,2,1,1,4,1,1,1,1,2,1,4,"4","1"
3,3,1,1,5,6,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
1,1,3,1,5,6,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,4,1,2,4,42,1,3,1,2,1,1,2,1,1,1,1,2,1,1,"3","1"
3,5,1,1,4,34,2,1,3,4,1,4,3,4,3,2,2,1,4,2,"4","3"
3,5,1,1,3,53,2,1,2,3,2,4,3,2,3,2,2,1,4,2,"5","2"
1,1,1,2,5,12,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
1,1,1,1,6,6,1,3,1,1,1,1,2,1,1,1,1,2,1,3,"5","1"
3,3,1,2,5,18,1,3,1,1,1,1,2,1,1,1,1,2,1,4,"4","3"
3,3,1,1,6,33,1,3,1,2,2,1,2,3,2,1,1,2,1,4,"4","3"
3,4,1,2,6,51,2,3,3,4,2,4,1,4,4,3,2,1,4,1,"5","2"
1,1,1,1,5,36,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"5","3"
2,6,1,1,3,37,2,1,4,2,1,4,1,2,2,2,8,1,4,1,"5","2"
1,1,1,1,3,19,1,2,2,2,1,2,2,1,2,2,8,1,1,1,"5","3"
3,3,3,1,6,12,1,2,2,3,2,2,2,2,2,1,1,1,1,4,"4","3"
3,3,4,1,6,37,1,2,1,3,2,1,3,2,3,2,1,2,1,4,"4","3"
2,7,1,2,6,36,2,1,3,4,1,4,1,2,2,3,2,1,3,1,"3","2"
2,7,1,1,2,42,2,1,2,2,1,2,2,2,2,2,8,1,2,2,"4","2"
4,3,2,2,6,36,1,1,1,2,2,1,2,1,1,1,1,2,1,2,"2","1"
1,1,1,2,2,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","1"
2,7,3,2,5,25,6,2,3,4,2,4,1,3,4,3,2,1,3,1,"4","2"
1,1,1,2,5,51,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
3,5,1,1,6,18,2,1,4,4,2,4,1,4,4,2,2,1,4,1,"4","2"
3,4,1,1,3,18,2,1,2,4,1,4,2,1,4,2,2,1,2,1,"4","3"
1,1,1,2,6,6,1,4,1,2,1,1,NA,1,1,2,1,2,1,1,"5","3"
2,6,1,2,5,23,2,2,3,3,1,3,3,3,3,1,8,1,2,4,"4","3"
2,6,1,2,6,32,2,1,2,3,1,2,4,3,4,2,1,1,2,2,"4","3"
